handle,dc.description.abstract[en],dc.subject[en],sedici.subject.materias[es],fulltext,dc.description.abstract[es],dc.subject[es]
10915/100059,,,Química,El trabajo presenta resultados reproducibles sobre Química. El trabajo presenta resultados reproducibles sobre Química. El trabajo presenta resultados reproducibles sobre Química. El trabajo presenta resultados reproducibles sobre Química. El trabajo presenta resultados reproducibles sobre Química. El trabajo presenta resultados reproducibles sobre Química. El trabajo presenta resultados reproducibles sobre Química. El trabajo presenta resultados reproducibles sobre Química. ,Esta investigación estudia métodos de Química para la educación y la sociedad.,Química::http://example.org/59||repositorios
10915/100060,The research study presents methods for Ciencias Informáticas and education.,Ciencias Informáticas::http://example.org/60||repositorios,Ciencias Informáticas||Educación,The paper reports reproducible results about Ciencias Informáticas. The paper reports reproducible results about Ciencias Informáticas. The paper reports reproducible results about Ciencias Informáticas. The paper reports reproducible results about Ciencias Informáticas. The paper reports reproducible results about Ciencias Informáticas. The paper reports reproducible results about Ciencias Informáticas. The paper reports reproducible results about Ciencias Informáticas. The paper reports reproducible results about Ciencias Informáticas. ,,
10915/100061,,,Educación,El trabajo presenta resultados reproducibles sobre Educación. El trabajo presenta resultados reproducibles sobre Educación. El trabajo presenta resultados reproducibles sobre Educación. El trabajo presenta resultados reproducibles sobre Educación. El trabajo presenta resultados reproducibles sobre Educación. El trabajo presenta resultados reproducibles sobre Educación. El trabajo presenta resultados reproducibles sobre Educación. El trabajo presenta resultados reproducibles sobre Educación. ,Esta investigación estudia métodos de Educación para la educación y la sociedad.,Educación::http://example.org/61||repositorios
10915/100062,,,Historia,El trabajo presenta resultados reproducibles sobre Historia. El trabajo presenta resultados reproducibles sobre Historia. El trabajo presenta resultados reproducibles sobre Historia. El trabajo presenta resultados reproducibles sobre Historia. El trabajo presenta resultados reproducibles sobre Historia. El trabajo presenta resultados reproducibles sobre Historia. El trabajo presenta resultados reproducibles sobre Historia. El trabajo presenta resultados reproducibles sobre Historia. ,Esta investigación estudia métodos de Historia para la educación y la sociedad.,Historia::http://example.org/62||repositorios
10915/100063,The research study presents methods for Química and education.,Química::http://example.org/63||repositorios,Química,The paper reports reproducible results about Química. The paper reports reproducible results about Química. The paper reports reproducible results about Química. The paper reports reproducible results about Química. The paper reports reproducible results about Química. The paper reports reproducible results about Química. The paper reports reproducible results about Química. The paper reports reproducible results about Química. ,,
10915/100064,,,Ciencias Informáticas,El trabajo presenta resultados reproducibles sobre Ciencias Informáticas. El trabajo presenta resultados reproducibles sobre Ciencias Informáticas. El trabajo presenta resultados reproducibles sobre Ciencias Informáticas. El trabajo presenta resultados reproducibles sobre Ciencias Informáticas. El trabajo presenta resultados reproducibles sobre Ciencias Informáticas. El trabajo presenta resultados reproducibles sobre Ciencias Informáticas. El trabajo presenta resultados reproducibles sobre Ciencias Informáticas. El trabajo presenta resultados reproducibles sobre Ciencias Informáticas. ,Esta investigación estudia métodos de Ciencias Informáticas para la educación y la sociedad.,Ciencias Informáticas::http://example.org/64||repositorios
10915/100065,,,Educación||Historia,El trabajo presenta resultados reproducibles sobre Educación. El trabajo presenta resultados reproducibles sobre Educación. El trabajo presenta resultados reproducibles sobre Educación. El trabajo presenta resultados reproducibles sobre Educación. El trabajo presenta resultados reproducibles sobre Educación. El trabajo presenta resultados reproducibles sobre Educación. El trabajo presenta resultados reproducibles sobre Educación. El trabajo presenta resultados reproducibles sobre Educación. ,Esta investigación estudia métodos de Educación para la educación y la sociedad.,Educación::http://example.org/65||repositorios
10915/100066,The research study presents methods for Historia and education.,Historia::http://example.org/66||repositorios,Historia,The paper reports reproducible results about Historia. The paper reports reproducible results about Historia. The paper reports reproducible results about Historia. The paper reports reproducible results about Historia. The paper reports reproducible results about Historia. The paper reports reproducible results about Historia. The paper reports reproducible results about Historia. The paper reports reproducible results about Historia. ,,
10915/100067,,,Química,El trabajo presenta resultados reproducibles sobre Química. El trabajo presenta resultados reproducibles sobre Química. El trabajo presenta resultados reproducibles sobre Química. El trabajo presenta resultados reproducibles sobre Química. El trabajo presenta resultados reproducibles sobre Química. El trabajo presenta resultados reproducibles sobre Química. El trabajo presenta resultados reproducibles sobre Química. El trabajo presenta resultados reproducibles sobre Química. ,Esta investigación estudia métodos de Química para la educación y la sociedad.,Química::http://example.org/67||repositorios
10915/100068,,,Ciencias Informáticas,El trabajo presenta resultados reproducibles sobre Ciencias Informáticas. El trabajo presenta resultados reproducibles sobre Ciencias Informáticas. El trabajo presenta resultados reproducibles sobre Ciencias Informáticas. El trabajo presenta resultados reproducibles sobre Ciencias Informáticas. El trabajo presenta resultados reproducibles sobre Ciencias Informáticas. El trabajo presenta resultados reproducibles sobre Ciencias Informáticas. El trabajo presenta resultados reproducibles sobre Ciencias Informáticas. El trabajo presenta resultados reproducibles sobre Ciencias Informáticas. ,Esta investigación estudia métodos de Ciencias Informáticas para la educación y la sociedad.,Ciencias Informáticas::http://example.org/68||repositorios
10915/100069,The research study presents methods for Educación and education.,Educación::http://example.org/69||repositorios,Educación,The paper reports reproducible results about Educación. The paper reports reproducible results about Educación. The paper reports reproducible results about Educación. The paper reports reproducible results about Educación. The paper reports reproducible results about Educación. The paper reports reproducible results about Educación. The paper reports reproducible results about Educación. The paper reports reproducible results about Educación. ,,
10915/100070,,,Historia||Química,El trabajo presenta resultados reproducibles sobre Historia. El trabajo presenta resultados reproducibles sobre Historia. El trabajo presenta resultados reproducibles sobre Historia. El trabajo presenta resultados reproducibles sobre Historia. El trabajo presenta resultados reproducibles sobre Historia. El trabajo presenta resultados reproducibles sobre Historia. El trabajo presenta resultados reproducibles sobre Historia. El trabajo presenta resultados reproducibles sobre Historia. ,Esta investigación estudia métodos de Historia para la educación y la sociedad.,Historia::http://example.org/70||repositorios
10915/100071,,,Química,El trabajo presenta resultados reproducibles sobre Química. El trabajo presenta resultados reproducibles sobre Química. El trabajo presenta resultados reproducibles sobre Química. El trabajo presenta resultados reproducibles sobre Química. El trabajo presenta resultados reproducibles sobre Química. El trabajo presenta resultados reproducibles sobre Química. El trabajo presenta resultados reproducibles sobre Química. El trabajo presenta resultados reproducibles sobre Química. ,Esta investigación estudia métodos de Química para la educación y la sociedad.,Química::http://example.org/71||repositorios
10915/100072,The research study presents methods for Ciencias Informáticas and education.,Ciencias Informáticas::http://example.org/72||repositorios,Ciencias Informáticas,The paper reports reproducible results about Ciencias Informáticas. The paper reports reproducible results about Ciencias Informáticas. The paper reports reproducible results about Ciencias Informáticas. The paper reports reproducible results about Ciencias Informáticas. The paper reports reproducible results about Ciencias Informáticas. The paper reports reproducible results about Ciencias Informáticas. The paper reports reproducible results about Ciencias Informáticas. The paper reports reproducible results about Ciencias Informáticas. ,,
10915/100073,,,Educación,El trabajo presenta resultados reproducibles sobre Educación. El trabajo presenta resultados reproducibles sobre Educación. El trabajo presenta resultados reproducibles sobre Educación. El trabajo presenta resultados reproducibles sobre Educación. El trabajo presenta resultados reproducibles sobre Educación. El trabajo presenta resultados reproducibles sobre Educación. El trabajo presenta resultados reproducibles sobre Educación. El trabajo presenta resultados reproducibles sobre Educación. ,Esta investigación estudia métodos de Educación para la educación y la sociedad.,Educación::http://example.org/73||repositorios
10915/100074,,,Historia,El trabajo presenta resultados reproducibles sobre Historia. El trabajo presenta resultados reproducibles sobre Historia. El trabajo presenta resultados reproducibles sobre Historia. El trabajo presenta resultados reproducibles sobre Historia. El trabajo presenta resultados reproducibles sobre Historia. El trabajo presenta resultados reproducibles sobre Historia. El trabajo presenta resultados reproducibles sobre Historia. El trabajo presenta resultados reproducibles sobre Historia. ,Esta investigación estudia métodos de Historia para la educación y la sociedad.,Historia::http://example.org/74||repositorios
10915/100075,The research study presents methods for Química and education.,Química::http://example.org/75||repositorios,Química||Ciencias Informáticas,The paper reports reproducible results about Química. The paper reports reproducible results about Química. The paper reports reproducible results about Química. The paper reports reproducible results about Química. The paper reports reproducible results about Química. The paper reports reproducible results about Química. The paper reports reproducible results about Química. The paper reports reproducible results about Química. ,,
10915/100076,,,Ciencias Informáticas,El trabajo presenta resultados reproducibles sobre Ciencias Informáticas. El trabajo presenta resultados reproducibles sobre Ciencias Informáticas. El trabajo presenta resultados reproducibles sobre Ciencias Informáticas. El trabajo presenta resultados reproducibles sobre Ciencias Informáticas. El trabajo presenta resultados reproducibles sobre Ciencias Informáticas. El trabajo presenta resultados reproducibles sobre Ciencias Informáticas. El trabajo presenta resultados reproducibles sobre Ciencias Informáticas. El trabajo presenta resultados reproducibles sobre Ciencias Informáticas. ,Esta investigación estudia métodos de Ciencias Informáticas para la educación y la sociedad.,Ciencias Informáticas::http://example.org/76||repositorios
10915/100077,,,Educación,El trabajo presenta resultados reproducibles sobre Educación. El trabajo presenta resultados reproducibles sobre Educación. El trabajo presenta resultados reproducibles sobre Educación. El trabajo presenta resultados reproducibles sobre Educación. El trabajo presenta resultados reproducibles sobre Educación. El trabajo presenta resultados reproducibles sobre Educación. El trabajo presenta resultados reproducibles sobre Educación. El trabajo presenta resultados reproducibles sobre Educación. ,Esta investigación estudia métodos de Educación para la educación y la sociedad.,Educación::http://example.org/77||repositorios
10915/100078,The research study presents methods for Historia and education.,Historia::http://example.org/78||repositorios,Historia,The paper reports reproducible results about Historia. The paper reports reproducible results about Historia. The paper reports reproducible results about Historia. The paper reports reproducible results about Historia. The paper reports reproducible results about Historia. The paper reports reproducible results about Historia. The paper reports reproducible results about Historia. The paper reports reproducible results about Historia. ,,
10915/100079,,,Química,El trabajo presenta resultados reproducibles sobre Química. El trabajo presenta resultados reproducibles sobre Química. El trabajo presenta resultados reproducibles sobre Química. El trabajo presenta resultados reproducibles sobre Química. El trabajo presenta resultados reproducibles sobre Química. El trabajo presenta resultados reproducibles sobre Química. El trabajo presenta resultados reproducibles sobre Química. El trabajo presenta resultados reproducibles sobre Química. ,Esta investigación estudia métodos de Química para la educación y la sociedad.,Química::http://example.org/79||repositorios
10915/100080,,,Ciencias Informáticas||Educación,El trabajo presenta resultados reproducibles sobre Ciencias Informáticas. El trabajo presenta resultados reproducibles sobre Ciencias Informáticas. El trabajo presenta resultados reproducibles sobre Ciencias Informáticas. El trabajo presenta resultados reproducibles sobre Ciencias Informáticas. El trabajo presenta resultados reproducibles sobre Ciencias Informáticas. El trabajo presenta resultados reproducibles sobre Ciencias Informáticas. El trabajo presenta resultados reproducibles sobre Ciencias Informáticas. El trabajo presenta resultados reproducibles sobre Ciencias Informáticas. ,Esta investigación estudia métodos de Ciencias Informáticas para la educación y la sociedad.,Ciencias Informáticas::http://example.org/80||repositorios
10915/100081,The research study presents methods for Educación and education.,Educación::http://example.org/81||repositorios,Educación,The paper reports reproducible results about Educación. The paper reports reproducible results about Educación. The paper reports reproducible results about Educación. The paper reports reproducible results about Educación. The paper reports reproducible results about Educación. The paper reports reproducible results about Educación. The paper reports reproducible results about Educación. The paper reports reproducible results about Educación. ,,
10915/100082,,,Historia,El trabajo presenta resultados reproducibles sobre Historia. El trabajo presenta resultados reproducibles sobre Historia. El trabajo presenta resultados reproducibles sobre Historia. El trabajo presenta resultados reproducibles sobre Historia. El trabajo presenta resultados reproducibles sobre Historia. El trabajo presenta resultados reproducibles sobre Historia. El trabajo presenta resultados reproducibles sobre Historia. El trabajo presenta resultados reproducibles sobre Historia. ,Esta investigación estudia métodos de Historia para la educación y la sociedad.,Historia::http://example.org/82||repositorios
10915/100083,,,Química,El trabajo presenta resultados reproducibles sobre Química. El trabajo presenta resultados reproducibles sobre Química. El trabajo presenta resultados reproducibles sobre Química. El trabajo presenta resultados reproducibles sobre Química. El trabajo presenta resultados reproducibles sobre Química. El trabajo presenta resultados reproducibles sobre Química. El trabajo presenta resultados reproducibles sobre Química. El trabajo presenta resultados reproducibles sobre Química. ,Esta investigación estudia métodos de Química para la educación y la sociedad.,Química::http://example.org/83||repositorios
10915/100084,The research study presents methods for Ciencias Informáticas and education.,Ciencias Informáticas::http://example.org/84||repositorios,Ciencias Informáticas,The paper reports reproducible results about Ciencias Informáticas. The paper reports reproducible results about Ciencias Informáticas. The paper reports reproducible results about Ciencias Informáticas. The paper reports reproducible results about Ciencias Informáticas. The paper reports reproducible results about Ciencias Informáticas. The paper reports reproducible results about Ciencias Informáticas. The paper reports reproducible results about Ciencias Informáticas. The paper reports reproducible results about Ciencias Informáticas. ,,
10915/100085,,,Educación||Historia,El trabajo presenta resultados reproducibles sobre Educación. El trabajo presenta resultados reproducibles sobre Educación. El trabajo presenta resultados reproducibles sobre Educación. El trabajo presenta resultados reproducibles sobre Educación. El trabajo presenta resultados reproducibles sobre Educación. El trabajo presenta resultados reproducibles sobre Educación. El trabajo presenta resultados reproducibles sobre Educación. El trabajo presenta resultados reproducibles sobre Educación. ,Esta investigación estudia métodos de Educación para la educación y la sociedad.,Educación::http://example.org/85||repositorios
10915/100086,,,Historia,El trabajo presenta resultados reproducibles sobre Historia. El trabajo presenta resultados reproducibles sobre Historia. El trabajo presenta resultados reproducibles sobre Historia. El trabajo presenta resultados reproducibles sobre Historia. El trabajo presenta resultados reproducibles sobre Historia. El trabajo presenta resultados reproducibles sobre Historia. El trabajo presenta resultados reproducibles sobre Historia. El trabajo presenta resultados reproducibles sobre Historia. ,Esta investigación estudia métodos de Historia para la educación y la sociedad.,Historia::http://example.org/86||repositorios
10915/100087,The research study presents methods for Química and education.,Química::http://example.org/87||repositorios,Química,The paper reports reproducible results about Química. The paper reports reproducible results about Química. The paper reports reproducible results about Química. The paper reports reproducible results about Química. The paper reports reproducible results about Química. The paper reports reproducible results about Química. The paper reports reproducible results about Química. The paper reports reproducible results about Química. ,,
10915/100088,,,Ciencias Informáticas,El trabajo presenta resultados reproducibles sobre Ciencias Informáticas. El trabajo presenta resultados reproducibles sobre Ciencias Informáticas. El trabajo presenta resultados reproducibles sobre Ciencias Informáticas. El trabajo presenta resultados reproducibles sobre Ciencias Informáticas. El trabajo presenta resultados reproducibles sobre Ciencias Informáticas. El trabajo presenta resultados reproducibles sobre Ciencias Informáticas. El trabajo presenta resultados reproducibles sobre Ciencias Informáticas. El trabajo presenta resultados reproducibles sobre Ciencias Informáticas. ,Esta investigación estudia métodos de Ciencias Informáticas para la educación y la sociedad.,Ciencias Informáticas::http://example.org/88||repositorios
10915/100089,,,Educación,El trabajo presenta resultados reproducibles sobre Educación. El trabajo presenta resultados reproducibles sobre Educación. El trabajo presenta resultados reproducibles sobre Educación. El trabajo presenta resultados reproducibles sobre Educación. El trabajo presenta resultados reproducibles sobre Educación. El trabajo presenta resultados reproducibles sobre Educación. El trabajo presenta resultados reproducibles sobre Educación. El trabajo presenta resultados reproducibles sobre Educación. ,Esta investigación estudia métodos de Educación para la educación y la sociedad.,Educación::http://example.org/89||repositorios
10915/100090,The research study presents methods for Historia and education.,Historia::http://example.org/90||repositorios,Historia||Química,The paper reports reproducible results about Historia. The paper reports reproducible results about Historia. The paper reports reproducible results about Historia. The paper reports reproducible results about Historia. The paper reports reproducible results about Historia. The paper reports reproducible results about Historia. The paper reports reproducible results about Historia. The paper reports reproducible results about Historia. ,,
10915/100091,,,Química,El trabajo presenta resultados reproducibles sobre Química. El trabajo presenta resultados reproducibles sobre Química. El trabajo presenta resultados reproducibles sobre Química. El trabajo presenta resultados reproducibles sobre Química. El trabajo presenta resultados reproducibles sobre Química. El trabajo presenta resultados reproducibles sobre Química. El trabajo presenta resultados reproducibles sobre Química. El trabajo presenta resultados reproducibles sobre Química. ,Esta investigación estudia métodos de Química para la educación y la sociedad.,Química::http://example.org/91||repositorios
10915/100092,,,Ciencias Informáticas,El trabajo presenta resultados reproducibles sobre Ciencias Informáticas. El trabajo presenta resultados reproducibles sobre Ciencias Informáticas. El trabajo presenta resultados reproducibles sobre Ciencias Informáticas. El trabajo presenta resultados reproducibles sobre Ciencias Informáticas. El trabajo presenta resultados reproducibles sobre Ciencias Informáticas. El trabajo presenta resultados reproducibles sobre Ciencias Informáticas. El trabajo presenta resultados reproducibles sobre Ciencias Informáticas. El trabajo presenta resultados reproducibles sobre Ciencias Informáticas. ,Esta investigación estudia métodos de Ciencias Informáticas para la educación y la sociedad.,Ciencias Informáticas::http://example.org/92||repositorios
10915/100093,The research study presents methods for Educación and education.,Educación::http://example.org/93||repositorios,Educación,The paper reports reproducible results about Educación. The paper reports reproducible results about Educación. The paper reports reproducible results about Educación. The paper reports reproducible results about Educación. The paper reports reproducible results about Educación. The paper reports reproducible results about Educación. The paper reports reproducible results about Educación. The paper reports reproducible results about Educación. ,,
10915/100094,,,Historia,El trabajo presenta resultados reproducibles sobre Historia. El trabajo presenta resultados reproducibles sobre Historia. El trabajo presenta resultados reproducibles sobre Historia. El trabajo presenta resultados reproducibles sobre Historia. El trabajo presenta resultados reproducibles sobre Historia. El trabajo presenta resultados reproducibles sobre Historia. El trabajo presenta resultados reproducibles sobre Historia. El trabajo presenta resultados reproducibles sobre Historia. ,Esta investigación estudia métodos de Historia para la educación y la sociedad.,Historia::http://example.org/94||repositorios
10915/100095,,,Química||Ciencias Informáticas,El trabajo presenta resultados reproducibles sobre Química. El trabajo presenta resultados reproducibles sobre Química. El trabajo presenta resultados reproducibles sobre Química. El trabajo presenta resultados reproducibles sobre Química. El trabajo presenta resultados reproducibles sobre Química. El trabajo presenta resultados reproducibles sobre Química. El trabajo presenta resultados reproducibles sobre Química. El trabajo presenta resultados reproducibles sobre Química. ,Esta investigación estudia métodos de Química para la educación y la sociedad.,Química::http://example.org/95||repositorios
10915/100096,The research study presents methods for Ciencias Informáticas and education.,Ciencias Informáticas::http://example.org/96||repositorios,Ciencias Informáticas,The paper reports reproducible results about Ciencias Informáticas. The paper reports reproducible results about Ciencias Informáticas. The paper reports reproducible results about Ciencias Informáticas. The paper reports reproducible results about Ciencias Informáticas. The paper reports reproducible results about Ciencias Informáticas. The paper reports reproducible results about Ciencias Informáticas. The paper reports reproducible results about Ciencias Informáticas. The paper reports reproducible results about Ciencias Informáticas. ,,
10915/100097,,,Educación,El trabajo presenta resultados reproducibles sobre Educación. El trabajo presenta resultados reproducibles sobre Educación. El trabajo presenta resultados reproducibles sobre Educación. El trabajo presenta resultados reproducibles sobre Educación. El trabajo presenta resultados reproducibles sobre Educación. El trabajo presenta resultados reproducibles sobre Educación. El trabajo presenta resultados reproducibles sobre Educación. El trabajo presenta resultados reproducibles sobre Educación. ,Esta investigación estudia métodos de Educación para la educación y la sociedad.,Educación::http://example.org/97||repositorios
10915/100098,,,Historia,El trabajo presenta resultados reproducibles sobre Historia. El trabajo presenta resultados reproducibles sobre Historia. El trabajo presenta resultados reproducibles sobre Historia. El trabajo presenta resultados reproducibles sobre Historia. El trabajo presenta resultados reproducibles sobre Historia. El trabajo presenta resultados reproducibles sobre Historia. El trabajo presenta resultados reproducibles sobre Historia. El trabajo presenta resultados reproducibles sobre Historia. ,Esta investigación estudia métodos de Historia para la educación y la sociedad.,Historia::http://example.org/98||repositorios
10915/100099,The research study presents methods for Química and education.,Química::http://example.org/99||repositorios,Química,The paper reports reproducible results about Química. The paper reports reproducible results about Química. The paper reports reproducible results about Química. The paper reports reproducible results about Química. The paper reports reproducible results about Química. The paper reports reproducible results about Química. The paper reports reproducible results about Química. The paper reports reproducible results about Química. ,,
10915/100100,,,Ciencias Informáticas||Educación,El trabajo presenta resultados reproducibles sobre Ciencias Informáticas. El trabajo presenta resultados reproducibles sobre Ciencias Informáticas. El trabajo presenta resultados reproducibles sobre Ciencias Informáticas. El trabajo presenta resultados reproducibles sobre Ciencias Informáticas. El trabajo presenta resultados reproducibles sobre Ciencias Informáticas. El trabajo presenta resultados reproducibles sobre Ciencias Informáticas. El trabajo presenta resultados reproducibles sobre Ciencias Informáticas. El trabajo presenta resultados reproducibles sobre Ciencias Informáticas. ,Esta investigación estudia métodos de Ciencias Informáticas para la educación y la sociedad.,Ciencias Informáticas::http://example.org/100||repositorios
10915/100101,,,Educación,El trabajo presenta resultados reproducibles sobre Educación. El trabajo presenta resultados reproducibles sobre Educación. El trabajo presenta resultados reproducibles sobre Educación. El trabajo presenta resultados reproducibles sobre Educación. El trabajo presenta resultados reproducibles sobre Educación. El trabajo presenta resultados reproducibles sobre Educación. El trabajo presenta resultados reproducibles sobre Educación. El trabajo presenta resultados reproducibles sobre Educación. ,Esta investigación estudia métodos de Educación para la educación y la sociedad.,Educación::http://example.org/101||repositorios
10915/100102,The research study presents methods for Historia and education.,Historia::http://example.org/102||repositorios,Historia,The paper reports reproducible results about Historia. The paper reports reproducible results about Historia. The paper reports reproducible results about Historia. The paper reports reproducible results about Historia. The paper reports reproducible results about Historia. The paper reports reproducible results about Historia. The paper reports reproducible results about Historia. The paper reports reproducible results about Historia. ,,
10915/100103,,,Química,El trabajo presenta resultados reproducibles sobre Química. El trabajo presenta resultados reproducibles sobre Química. El trabajo presenta resultados reproducibles sobre Química. El trabajo presenta resultados reproducibles sobre Química. El trabajo presenta resultados reproducibles sobre Química. El trabajo presenta resultados reproducibles sobre Química. El trabajo presenta resultados reproducibles sobre Química. El trabajo presenta resultados reproducibles sobre Química. ,Esta investigación estudia métodos de Química para la educación y la sociedad.,Química::http://example.org/103||repositorios
10915/100104,,,Ciencias Informáticas,El trabajo presenta resultados reproducibles sobre Ciencias Informáticas. El trabajo presenta resultados reproducibles sobre Ciencias Informáticas. El trabajo presenta resultados reproducibles sobre Ciencias Informáticas. El trabajo presenta resultados reproducibles sobre Ciencias Informáticas. El trabajo presenta resultados reproducibles sobre Ciencias Informáticas. El trabajo presenta resultados reproducibles sobre Ciencias Informáticas. El trabajo presenta resultados reproducibles sobre Ciencias Informáticas. El trabajo presenta resultados reproducibles sobre Ciencias Informáticas. ,Esta investigación estudia métodos de Ciencias Informáticas para la educación y la sociedad.,Ciencias Informáticas::http://example.org/104||repositorios
10915/100105,The research study presents methods for Educación and education.,Educación::http://example.org/105||repositorios,Educación||Historia,The paper reports reproducible results about Educación. The paper reports reproducible results about Educación. The paper reports reproducible results about Educación. The paper reports reproducible results about Educación. The paper reports reproducible results about Educación. The paper reports reproducible results about Educación. The paper reports reproducible results about Educación. The paper reports reproducible results about Educación. ,,
10915/100106,,,Historia,El trabajo presenta resultados reproducibles sobre Historia. El trabajo presenta resultados reproducibles sobre Historia. El trabajo presenta resultados reproducibles sobre Historia. El trabajo presenta resultados reproducibles sobre Historia. El trabajo presenta resultados reproducibles sobre Historia. El trabajo presenta resultados reproducibles sobre Historia. El trabajo presenta resultados reproducibles sobre Historia. El trabajo presenta resultados reproducibles sobre Historia. ,Esta investigación estudia métodos de Historia para la educación y la sociedad.,Historia::http://example.org/106||repositorios
10915/100107,,,Química,El trabajo presenta resultados reproducibles sobre Química. El trabajo presenta resultados reproducibles sobre Química. El trabajo presenta resultados reproducibles sobre Química. El trabajo presenta resultados reproducibles sobre Química. El trabajo presenta resultados reproducibles sobre Química. El trabajo presenta resultados reproducibles sobre Química. El trabajo presenta resultados reproducibles sobre Química. El trabajo presenta resultados reproducibles sobre Química. ,Esta investigación estudia métodos de Química para la educación y la sociedad.,Química::http://example.org/107||repositorios
10915/100108,The research study presents methods for Ciencias Informáticas and education.,Ciencias Informáticas::http://example.org/108||repositorios,Ciencias Informáticas,The paper reports reproducible results about Ciencias Informáticas. The paper reports reproducible results about Ciencias Informáticas. The paper reports reproducible results about Ciencias Informáticas. The paper reports reproducible results about Ciencias Informáticas. The paper reports reproducible results about Ciencias Informáticas. The paper reports reproducible results about Ciencias Informáticas. The paper reports reproducible results about Ciencias Informáticas. The paper reports reproducible results about Ciencias Informáticas. ,,
10915/100109,,,Educación,El trabajo presenta resultados reproducibles sobre Educación. El trabajo presenta resultados reproducibles sobre Educación. El trabajo presenta resultados reproducibles sobre Educación. El trabajo presenta resultados reproducibles sobre Educación. El trabajo presenta resultados reproducibles sobre Educación. El trabajo presenta resultados reproducibles sobre Educación. El trabajo presenta resultados reproducibles sobre Educación. El trabajo presenta resultados reproducibles sobre Educación. ,Esta investigación estudia métodos de Educación para la educación y la sociedad.,Educación::http://example.org/109||repositorios
10915/100110,,,Historia||Química,El trabajo presenta resultados reproducibles sobre Historia. El trabajo presenta resultados reproducibles sobre Historia. El trabajo presenta resultados reproducibles sobre Historia. El trabajo presenta resultados reproducibles sobre Historia. El trabajo presenta resultados reproducibles sobre Historia. El trabajo presenta resultados reproducibles sobre Historia. El trabajo presenta resultados reproducibles sobre Historia. El trabajo presenta resultados reproducibles sobre Historia. ,Esta investigación estudia métodos de Historia para la educación y la sociedad.,Historia::http://example.org/110||repositorios
10915/100111,The research study presents methods for Química and education.,Química::http://example.org/111||repositorios,Química,The paper reports reproducible results about Química. The paper reports reproducible results about Química. The paper reports reproducible results about Química. The paper reports reproducible results about Química. The paper reports reproducible results about Química. The paper reports reproducible results about Química. The paper reports reproducible results about Química. The paper reports reproducible results about Química. ,,
10915/100112,,,Ciencias Informáticas,El trabajo presenta resultados reproducibles sobre Ciencias Informáticas. El trabajo presenta resultados reproducibles sobre Ciencias Informáticas. El trabajo presenta resultados reproducibles sobre Ciencias Informáticas. El trabajo presenta resultados reproducibles sobre Ciencias Informáticas. El trabajo presenta resultados reproducibles sobre Ciencias Informáticas. El trabajo presenta resultados reproducibles sobre Ciencias Informáticas. El trabajo presenta resultados reproducibles sobre Ciencias Informáticas. El trabajo presenta resultados reproducibles sobre Ciencias Informáticas. ,Esta investigación estudia métodos de Ciencias Informáticas para la educación y la sociedad.,Ciencias Informáticas::http://example.org/112||repositorios
10915/100113,,,Educación,El trabajo presenta resultados reproducibles sobre Educación. El trabajo presenta resultados reproducibles sobre Educación. El trabajo presenta resultados reproducibles sobre Educación. El trabajo presenta resultados reproducibles sobre Educación. El trabajo presenta resultados reproducibles sobre Educación. El trabajo presenta resultados reproducibles sobre Educación. El trabajo presenta resultados reproducibles sobre Educación. El trabajo presenta resultados reproducibles sobre Educación. ,Esta investigación estudia métodos de Educación para la educación y la sociedad.,Educación::http://example.org/113||repositorios
10915/100114,The research study presents methods for Historia and education.,Historia::http://example.org/114||repositorios,Historia,The paper reports reproducible results about Historia. The paper reports reproducible results about Historia. The paper reports reproducible results about Historia. The paper reports reproducible results about Historia. The paper reports reproducible results about Historia. The paper reports reproducible results about Historia. The paper reports reproducible results about Historia. The paper reports reproducible results about Historia. ,,
10915/100115,,,Química||Ciencias Informáticas,El trabajo presenta resultados reproducibles sobre Química. El trabajo presenta resultados reproducibles sobre Química. El trabajo presenta resultados reproducibles sobre Química. El trabajo presenta resultados reproducibles sobre Química. El trabajo presenta resultados reproducibles sobre Química. El trabajo presenta resultados reproducibles sobre Química. El trabajo presenta resultados reproducibles sobre Química. El trabajo presenta resultados reproducibles sobre Química. ,Esta investigación estudia métodos de Química para la educación y la sociedad.,Química::http://example.org/115||repositorios
10915/100116,,,Ciencias Informáticas,El trabajo presenta resultados reproducibles sobre Ciencias Informáticas. El trabajo presenta resultados reproducibles sobre Ciencias Informáticas. El trabajo presenta resultados reproducibles sobre Ciencias Informáticas. El trabajo presenta resultados reproducibles sobre Ciencias Informáticas. El trabajo presenta resultados reproducibles sobre Ciencias Informáticas. El trabajo presenta resultados reproducibles sobre Ciencias Informáticas. El trabajo presenta resultados reproducibles sobre Ciencias Informáticas. El trabajo presenta resultados reproducibles sobre Ciencias Informáticas. ,Esta investigación estudia métodos de Ciencias Informáticas para la educación y la sociedad.,Ciencias Informáticas::http://example.org/116||repositorios
10915/100117,The research study presents methods for Educación and education.,Educación::http://example.org/117||repositorios,Educación,The paper reports reproducible results about Educación. The paper reports reproducible results about Educación. The paper reports reproducible results about Educación. The paper reports reproducible results about Educación. The paper reports reproducible results about Educación. The paper reports reproducible results about Educación. The paper reports reproducible results about Educación. The paper reports reproducible results about Educación. ,,
